isTest,sid,class,cluster,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio,cluster_10_ratio
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,4,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,7,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,7,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,7,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
0,1,3,7,0.0,0.0,0.0784313725490196,0.0,0.39215686274509803,0.19607843137254902,0.0,0.2549019607843137,0.0,0.0784313725490196
