sid,cluster_0_ratio,cluster_1_ratio,cluster_2_ratio,cluster_3_ratio,cluster_4_ratio,cluster_5_ratio,cluster_6_ratio,cluster_7_ratio,cluster_8_ratio,cluster_9_ratio
74,0.549019608,0.411764706,0,0,0,0,0,0.039215686,0,0
75,0.098039216,0,0.294117647,0.137254902,0.156862745,0.078431373,0,0.235294118,0,0
76,0.333333333,0.392156863,0,0,0,0,0,0.274509804,0,0
77,0.529411765,0.470588235,0,0,0,0,0,0,0,0
78,0.196078431,0.411764706,0,0,0,0,0,0.392156863,0,0
79,0,0.568627451,0,0,0,0,0,0.431372549,0,0
80,0.490196078,0.078431373,0,0,0,0,0.019607843,0,0.411764706,0
81,0.607843137,0,0,0.019607843,0,0.156862745,0,0,0.215686275,0
82,0.215686275,0.509803922,0,0,0,0,0,0.274509804,0,0
83,0.647058824,0.352941176,0,0,0,0,0,0,0,0
84,0.039215686,0,0.254901961,0,0,0.078431373,0,0.294117647,0.019607843,0.31372549
85,0.647058824,0.352941176,0,0,0,0,0,0,0,0
86,0,0.490196078,0,0,0,0,0.509803922,0,0,0
87,0,0,0.235294118,0.058823529,0.254901961,0.058823529,0.37254902,0,0.019607843,0
88,0.039215686,0,0.196078431,0.098039216,0,0.039215686,0,0.411764706,0,0.215686275
89,0.411764706,0,0,0.098039216,0,0.098039216,0,0.156862745,0.235294118,0
90,0.235294118,0,0.215686275,0.098039216,0.196078431,0.117647059,0,0.117647059,0.019607843,0
91,0.607843137,0.392156863,0,0,0,0,0,0,0,0
92,0,0.333333333,0,0,0,0,0,0.666666667,0,0
93,0,0.490196078,0,0,0,0,0,0.509803922,0,0
94,0.68627451,0.31372549,0,0,0,0,0,0,0,0
95,0,0.411764706,0,0,0,0,0,0.588235294,0,0
96,0.31372549,0,0.176470588,0.156862745,0.176470588,0.176470588,0,0,0,0
97,0.529411765,0,0,0.098039216,0,0.078431373,0,0,0.294117647,0
98,0.549019608,0,0,0,0,0.098039216,0,0,0.352941176,0
99,0,0.019607843,0.294117647,0.078431373,0.215686275,0.039215686,0,0.352941176,0,0
100,0.058823529,0,0.137254902,0.117647059,0.156862745,0.078431373,0.431372549,0,0.019607843,0
101,0.117647059,0,0,0,0,0.156862745,0,0.431372549,0.294117647,0
102,0.098039216,0,0.196078431,0.137254902,0.215686275,0.117647059,0.019607843,0.215686275,0,0
103,0.68627451,0.31372549,0,0,0,0,0,0,0,0
104,0.568627451,0.431372549,0,0,0,0,0,0,0,0
105,0,0.294117647,0,0,0,0,0.705882353,0,0,0
106,0,0.333333333,0,0,0,0,0,0.666666667,0,0
107,0.62745098,0.352941176,0,0,0,0,0,0.019607843,0,0
108,0.254901961,0.117647059,0,0,0,0,0.235294118,0,0.392156863,0
109,0.098039216,0,0.274509804,0.117647059,0.196078431,0.058823529,0,0.254901961,0,0
110,0.549019608,0,0.117647059,0.078431373,0.137254902,0.098039216,0.019607843,0,0,0
111,0.235294118,0.274509804,0,0,0,0,0.490196078,0,0,0
112,0,0,0.117647059,0.019607843,0,0.176470588,0,0.37254902,0,0.31372549
113,0,0.450980392,0,0,0,0,0.549019608,0,0,0
114,0.666666667,0.333333333,0,0,0,0,0,0,0,0
115,0.274509804,0,0.274509804,0.078431373,0.137254902,0.098039216,0,0.117647059,0.019607843,0
116,0.470588235,0,0.176470588,0.117647059,0.117647059,0.117647059,0,0,0,0
117,0,0,0.235294118,0.078431373,0.254901961,0.058823529,0.37254902,0,0,0
118,0,0,0.215686275,0.058823529,0,0.117647059,0,0.215686275,0,0.392156863
119,0.294117647,0.431372549,0,0,0,0,0,0.274509804,0,0
120,0.235294118,0,0,0,0,0.137254902,0,0.333333333,0.294117647,0
121,0.529411765,0.470588235,0,0,0,0,0,0,0,0
122,0,0.470588235,0,0,0,0,0,0.529411765,0,0
123,0.549019608,0.450980392,0,0,0,0,0,0,0,0
124,0,0,0.176470588,0.058823529,0.254901961,0.117647059,0.37254902,0,0.019607843,0
125,0,0.450980392,0,0,0,0,0.549019608,0,0,0
126,0.509803922,0,0,0.117647059,0,0.156862745,0,0,0.215686275,0
127,0.490196078,0.431372549,0,0,0,0,0,0.078431373,0,0
128,0,0.392156863,0,0,0,0,0,0.607843137,0,0
129,0.568627451,0,0,0,0,0.215686275,0,0,0.215686275,0
130,0,0,0.196078431,0.019607843,0.039215686,0.098039216,0,0.450980392,0,0.196078431
131,0.215686275,0.392156863,0,0,0,0,0,0.392156863,0,0
132,0.647058824,0.333333333,0,0,0,0,0.019607843,0,0,0
133,0.098039216,0,0.215686275,0.117647059,0.176470588,0.058823529,0,0.274509804,0,0.058823529
134,0.019607843,0,0,0,0,0.117647059,0,0.607843137,0.254901961,0
135,0.37254902,0,0,0.098039216,0,0.098039216,0,0.098039216,0.333333333,0
136,0.62745098,0.37254902,0,0,0,0,0,0,0,0
137,0.196078431,0.039215686,0,0,0,0,0.37254902,0,0.392156863,0
138,0.019607843,0,0.196078431,0.098039216,0.294117647,0.156862745,0,0.235294118,0,0
139,0,0,0,0,0,0.117647059,0,0.529411765,0.352941176,0
140,0,0.37254902,0,0,0,0,0,0.62745098,0,0
141,0.490196078,0.392156863,0,0,0,0,0,0.117647059,0,0
142,0.62745098,0.352941176,0,0,0,0,0,0.019607843,0,0
143,0.529411765,0.470588235,0,0,0,0,0,0,0,0
144,0.450980392,0,0.176470588,0.156862745,0.098039216,0.117647059,0,0,0,0
145,0.156862745,0.509803922,0,0,0,0,0,0.333333333,0,0
146,0.019607843,0.019607843,0,0.058823529,0,0.098039216,0,0.529411765,0.274509804,0
147,0,0,0,0.039215686,0,0.137254902,0,0.588235294,0.235294118,0
148,0,0,0,0,0,0,0,0.607843137,0,0.392156863
149,0.529411765,0.470588235,0,0,0,0,0,0,0,0
150,0.235294118,0,0,0.039215686,0,0.156862745,0,0.31372549,0.254901961,0
151,0.254901961,0,0,0.078431373,0,0.196078431,0,0.294117647,0.176470588,0
152,0.450980392,0.352941176,0,0,0,0,0.196078431,0,0,0
153,0,0,0.235294118,0.117647059,0.215686275,0.039215686,0.37254902,0,0.019607843,0
154,0,0,0.215686275,0.098039216,0.333333333,0.058823529,0.274509804,0,0.019607843,0
155,0.607843137,0.392156863,0,0,0,0,0,0,0,0
156,0.470588235,0.31372549,0,0,0,0,0,0.215686275,0,0
157,0,0.37254902,0,0,0,0,0.62745098,0,0,0
158,0.392156863,0,0.215686275,0.274509804,0,0.117647059,0,0,0,0
159,0.470588235,0.411764706,0,0,0,0,0.117647059,0,0,0
160,0,0.37254902,0,0,0,0,0,0.62745098,0,0
161,0,0.411764706,0,0,0,0,0.588235294,0,0,0
162,0.470588235,0,0.137254902,0.098039216,0.156862745,0.078431373,0.058823529,0,0,0
163,0,0.392156863,0,0,0,0,0,0.607843137,0,0
164,0.156862745,0,0.235294118,0.333333333,0.078431373,0.137254902,0.058823529,0,0,0
165,0.019607843,0,0,0,0,0.058823529,0.529411765,0,0.392156863,0
166,0.470588235,0,0.156862745,0.137254902,0.117647059,0.117647059,0,0,0,0
167,0,0,0.176470588,0.039215686,0.254901961,0.019607843,0.490196078,0,0.019607843,0
168,0,0.37254902,0,0,0,0,0.62745098,0,0,0
169,0.62745098,0.37254902,0,0,0,0,0,0,0,0
170,0.431372549,0,0.215686275,0.235294118,0,0.117647059,0,0,0,0
171,0,0,0.176470588,0.039215686,0,0.098039216,0,0.37254902,0,0.31372549
172,0,0.31372549,0,0,0,0,0.68627451,0,0,0
173,0,0,0,0,0,0,0.647058824,0,0.352941176,0
174,0,0.37254902,0,0,0,0,0.62745098,0,0,0
175,0.235294118,0,0.215686275,0.058823529,0.254901961,0.078431373,0,0.156862745,0,0
176,0.039215686,0,0.235294118,0.019607843,0.254901961,0.058823529,0.37254902,0,0.019607843,0
177,0,0,0.137254902,0.039215686,0.294117647,0.058823529,0.431372549,0,0.039215686,0
178,0,0.333333333,0,0,0,0,0,0.666666667,0,0
179,0,0,0.156862745,0.039215686,0.254901961,0.078431373,0.431372549,0,0.039215686,0
180,0.156862745,0,0.176470588,0.156862745,0.235294118,0.156862745,0,0.098039216,0.019607843,0
181,0.078431373,0,0.176470588,0.117647059,0.137254902,0.039215686,0,0.450980392,0,0
182,0.058823529,0,0.196078431,0.137254902,0.058823529,0.058823529,0,0.470588235,0,0.019607843
183,0.549019608,0.039215686,0,0,0,0.117647059,0.019607843,0,0.274509804,0
184,0.450980392,0.549019608,0,0,0,0,0,0,0,0
185,0.156862745,0,0.137254902,0.176470588,0.274509804,0.137254902,0.117647059,0,0,0
186,0.529411765,0.470588235,0,0,0,0,0,0,0,0
187,0,0.196078431,0,0,0,0,0.803921569,0,0,0
188,0.470588235,0.431372549,0,0,0,0,0,0.098039216,0,0
189,0.68627451,0.31372549,0,0,0,0,0,0,0,0
190,0.529411765,0.470588235,0,0,0,0,0,0,0,0
191,0.470588235,0,0.176470588,0.117647059,0.098039216,0.078431373,0.039215686,0,0.019607843,0
192,0,0,0.254901961,0.039215686,0.274509804,0.058823529,0.294117647,0,0.078431373,0
193,0.117647059,0.411764706,0,0,0,0,0.470588235,0,0,0
194,0.490196078,0,0.196078431,0.098039216,0.078431373,0.078431373,0.019607843,0.019607843,0.019607843,0
195,0.392156863,0.392156863,0,0,0,0,0.215686275,0,0,0
196,0,0.392156863,0,0,0,0,0,0.607843137,0,0
197,0.333333333,0,0.235294118,0.117647059,0.196078431,0.078431373,0.019607843,0.019607843,0,0
198,0.196078431,0.647058824,0,0,0,0,0.156862745,0,0,0
199,0.31372549,0,0.156862745,0.098039216,0.117647059,0.058823529,0,0.254901961,0,0
200,0.156862745,0.450980392,0,0,0,0,0,0.392156863,0,0
201,0.529411765,0.431372549,0,0,0,0,0.039215686,0,0,0
202,0.333333333,0,0.215686275,0.098039216,0.215686275,0.098039216,0.019607843,0,0.019607843,0
203,0,0.039215686,0,0,0,0.019607843,0.549019608,0,0.392156863,0
204,0.058823529,0,0,0,0,0.098039216,0,0.588235294,0.254901961,0
205,0.333333333,0.568627451,0,0,0,0,0.098039216,0,0,0
206,0,0.31372549,0,0,0,0,0,0.68627451,0,0
207,0.62745098,0.37254902,0,0,0,0,0,0,0,0
208,0.117647059,0.431372549,0,0,0,0,0.450980392,0,0,0
209,0.294117647,0.450980392,0,0,0,0,0.254901961,0,0,0
210,0.019607843,0,0.156862745,0,0,0.098039216,0,0.333333333,0,0.392156863
211,0,0.333333333,0,0,0,0,0,0.666666667,0,0
212,0.392156863,0,0.176470588,0.117647059,0.196078431,0.117647059,0,0,0,0
213,0.215686275,0.176470588,0,0,0,0.098039216,0,0.31372549,0.196078431,0
214,0.333333333,0,0.196078431,0.137254902,0.137254902,0.078431373,0,0.117647059,0,0
215,0.039215686,0,0.078431373,0.196078431,0.156862745,0.078431373,0.039215686,0.294117647,0.117647059,0
216,0.039215686,0.098039216,0,0.058823529,0,0.156862745,0,0.392156863,0.254901961,0
217,0,0,0.098039216,0,0,0.117647059,0,0.568627451,0,0.215686275
218,0.37254902,0.490196078,0,0,0,0,0.137254902,0,0,0
219,0.019607843,0.019607843,0.215686275,0.098039216,0.039215686,0.058823529,0,0.431372549,0,0.117647059
220,0.058823529,0,0,0.098039216,0,0.078431373,0,0.450980392,0.31372549,0
221,0.058823529,0,0.156862745,0.039215686,0.254901961,0.078431373,0.019607843,0.352941176,0.039215686,0
222,0.37254902,0.37254902,0,0,0,0,0,0.254901961,0,0
223,0,0.31372549,0,0,0,0,0,0.68627451,0,0
224,0.392156863,0.039215686,0.196078431,0.078431373,0,0.117647059,0,0.117647059,0.058823529,0
225,0.490196078,0.509803922,0,0,0,0,0,0,0,0
226,0,0.294117647,0,0,0,0,0.705882353,0,0,0
227,0.019607843,0,0.176470588,0.039215686,0,0.078431373,0,0.470588235,0,0.215686275
228,0.411764706,0,0.196078431,0.098039216,0.156862745,0.117647059,0.019607843,0,0,0
